iter	Passed	Remaining
842	1390	259
843	1392	257
844	1393	255
845	1395	253
846	1396	252
847	1397	250
848	1399	248
849	1401	247
850	1402	245
851	1404	243
852	1406	242
853	1407	240
854	1408	238
855	1410	237
856	1411	235
857	1413	233
858	1414	232
859	1416	230
860	1418	228
861	1419	227
862	1421	225
863	1422	223
864	1424	222
865	1425	220
866	1427	218
867	1428	217
868	1429	215
869	1431	213
870	1432	212
871	1434	210
872	1436	208
873	1437	207
874	1439	205
875	1440	203
876	1442	202
877	1443	200
878	1444	198
879	1446	197
880	1447	195
881	1449	193
882	1451	192
883	1452	190
884	1454	188
885	1455	187
886	1457	185
887	1458	183
888	1460	182
889	1461	180
890	1463	178
891	1464	177
892	1467	175
893	1468	174
894	1470	172
895	1472	170
896	1473	169
897	1475	167
898	1476	165
899	1477	164
900	1479	162
901	1481	160
902	1482	159
903	1484	157
904	1486	156
905	1487	154
906	1489	152
907	1490	151
908	1492	149
909	1493	147
910	1494	146
911	1496	144
912	1498	142
913	1499	141
914	1501	139
915	1502	137
916	1504	136
917	1505	134
918	1507	132
919	1508	131
920	1510	129
921	1511	127
922	1513	126
923	1515	124
924	1517	123
925	1518	121
926	1520	119
927	1521	118
928	1522	116
929	1524	114
930	1525	113
931	1527	111
932	1528	109
933	1530	108
934	1532	106
935	1533	104
936	1535	103
937	1536	101
938	1538	99
939	1539	98
940	1541	96
941	1542	94
942	1543	93
943	1545	91
944	1547	90
945	1549	88
946	1550	86
947	1552	85
948	1553	83
949	1555	81
950	1556	80
951	1558	78
952	1559	76
953	1560	75
954	1563	73
955	1564	72
956	1566	70
957	1567	68
958	1569	67
959	1570	65
960	1572	63
961	1573	62
962	1575	60
963	1576	58
964	1578	57
965	1580	55
966	1581	53
967	1583	52
968	1584	50
969	1586	49
970	1587	47
971	1589	45
972	1590	44
973	1591	42
974	1593	40
975	1595	39
976	1597	37
977	1598	35
978	1600	34
979	1601	32
980	1603	31
981	1604	29
982	1605	27
983	1607	26
984	1608	24
985	1611	22
986	1612	21
987	1614	19
988	1615	17
989	1617	16
990	1618	14
991	1620	13
992	1621	11
993	1622	9
994	1624	8
995	1626	6
996	1628	4
997	1629	3
998	1631	1
999	1632	0
